Ensembl	Gene_Name	logConc	p.value	Fold_Change	q.value	DE	Low_read_count	D2_SNP_correction	flip_flop	Affymetrix_ProbeID	Affymetrix_Fold_Change	Affymetrix_q.value	Illumina_Probe_ID 	Illumina_Fold_Change 	Illumina_q.value	Biotype 	Chr	Gene_start	Gene_Description
ENSMUSG00000035459	Stab2	-16.78	4.1340E-303	0.01	4.2406E-299	1	0	4	0	1419423_at	0.10	8.6838E-08	ILMN_2737368	0.40	2.02E-05	protein_coding	10	86303943	stabilin 2 Gene [Source:MGI (curated);Acc:MGI:2178743]
ENSMUSG00000084890	RP23-336D20.8	-18.24	4.9850E-218	44.79	2.5568E-214	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	11	99278270	N/A
ENSMUSG00000087778	AC147020.1	-13.54	5.1824E-156	10.54	1.7720E-152	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	miRNA	18	68851748	N/A
ENSMUSG00000030761	Myo7a	-17.21	7.5373E-151	14.32	1.9329E-147	1	0	4	0	1421385_a_at	2.23	4.4041E-06	ILMN_1251839	1.52	2.14E-08	protein_coding	7	105199570	myosin VIIA Gene [Source:MGI (curated);Acc:MGI:104510]
ENSMUSG00000083840	AC092404.2	-17.17	6.0867E-148	13.32	1.2487E-144	1	0	4	0	N/A	N/A	N/A	ILMN_1260103	1.01	4.10E-01	pseudogene	5	5781615	N/A
ENSMUSG00000019505	Ubb	-18.05	4.2842E-143	17.28	7.3244E-140	1	0	4	0	N/A	N/A	N/A	ILMN_3092125	1.03	2.97E-01	protein_coding	11	62364673	ubiquitin B Gene [Source:MGI (curated);Acc:MGI:98888]
ENSMUSG00000052861	Dnahc6	-16.60	1.1050E-131	0.09	1.6193E-128	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	6	72967603	"dynein, axonemal, heavy chain 6 Gene [Source:MGI (curated);Acc:MGI:107744]"
ENSMUSG00000028573	Fggy	-19.85	2.6409E-131	42.22	3.3863E-128	1	0	4	0	1452799_at	2.92	2.3489E-09	N/A	N/A	N/A	protein_coding	4	95224198	FGGY carbohydrate kinase domain containing Gene [Source:MGI (curated);Acc:MGI:1922828]
ENSMUSG00000020415	Pttg1	-17.72	1.5805E-116	10.83	1.8014E-113	1	0	4	0	1424105_a_at	7.58	2.7551E-16	N/A	N/A	N/A	protein_coding	11	43233752	pituitary tumor-transforming gene 1 Gene [Source:MGI (curated);Acc:MGI:1353578]
ENSMUSG00000032572	Dvwa	-18.40	2.4712E-107	12.79	2.5349E-104	1	0	4	0	1429072_at	1.80	4.1705E-07	N/A	N/A	N/A	protein_coding	9	105891785	"collagen, type VI, alpha 4 Gene [Source:MGI (curated);Acc:MGI:1915803]"
ENSMUSG00000050141	BC049635	-20.32	4.7436E-105	36.07	4.4236E-102	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	4	42880876	Transmembrane protein ENSP00000340100 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q80YD3]
ENSMUSG00000024248	Cox7a2l	-18.55	1.2126E-100	11.60	1.0366E-97	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	83901270	cytochrome c oxidase subunit VIIa polypeptide 2-like Gene [Source:MGI Symbol;Acc:MGI:106015]
ENSMUSG00000089238	AC123039.1	-14.81	3.4759E-89	0.16	2.7427E-86	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	miRNA	8	15519891	N/A
ENSMUSG00000026697	Myoc	-19.37	1.0828E-86	13.86	7.9336E-84	1	0	4	0	1450468_at	1.94	1.4803E-05	ILMN_2932705	1.30	1.69E-03	protein_coding	1	164569300	myocilin Gene [Source:MGI Symbol;Acc:MGI:1202864]
ENSMUSG00000035775	Krt20	-20.15	1.4765E-83	22.19	1.0097E-80	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	11	99289717	keratin 20 Gene [Source:MGI (curated);Acc:MGI:1914059]
ENSMUSG00000023764	Sfi1	-13.97	5.7642E-81	0.19	3.6955E-78	1	0	4	0	1426787_at	0.19	8.9410E-09	ILMN_1256699	0.39	5.79E-12	protein_coding	11	3031853	"Sfi1 homolog, spindle assembly associated (yeast) Gene [Source:MGI (curated);Acc:MGI:1926137]"
ENSMUSG00000015852	Fcrls	-17.04	2.2775E-79	6.05	1.3743E-76	1	0	4	0	1448891_at	3.26	4.1529E-14	N/A	N/A	N/A	protein_coding	3	87054680	"Fc receptor-like S, scavenger receptor Gene [Source:MGI (curated);Acc:MGI:1933397]"
ENSMUSG00000050824	Sstr5	-19.26	2.7059E-79	0.08	1.5421E-76	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	25626820	somatostatin receptor 5 Gene [Source:MGI Symbol;Acc:MGI:894282]
ENSMUSG00000026418	Tnni1	-20.51	1.6349E-72	22.54	8.8267E-70	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	137679642	"troponin I, skeletal, slow 1 Gene [Source:MGI (curated);Acc:MGI:105073]"
ENSMUSG00000058174	Gm5148	-21.04	9.6697E-71	32.20	4.9596E-68	1	1	4	0	1443541_at	1.71	5.4611E-06	ILMN_2998738	1.57	2.42E-08	protein_coding	3	37613112	predicted gene 5148 Gene [Source:MGI Symbol;Acc:MGI:3646006]
